,result
0,0.024514377
1,0.024514318
2,0.024514318
3,0.024514377
4,0.024514318
5,0.024514377
6,0.024514377
7,0.024514347
8,0.024514377
9,0.024514318
10,0.024514377
11,0.024514377
12,0.024514318
13,0.024514318
14,0.024514318
15,0.024514377
16,0.024514377
17,0.024514377
18,0.024514347
19,0.024514377
20,0.024514318
21,0.024514347
22,0.024514347
23,0.024514318
24,0.024514377
25,0.024514377
26,0.024514377
27,0.024514318
28,0.024514377
29,0.024514377
30,0.024514347
31,0.024514347
32,0.024514377
33,0.024514318
34,0.024514377
35,0.024514318
36,0.024514377
37,0.024514377
38,0.024514347
39,0.024514377
40,0.024514318
41,0.024514347
42,0.024514347
43,0.024514318
44,0.024514347
45,0.024514377
46,0.024514377
47,0.024514347
48,0.024514377
49,0.024514377
50,0.024514347
51,0.024514318
52,0.024514377
53,0.024514377
54,0.024514347
55,0.024514377
56,0.024514347
57,0.024514318
58,0.024514377
59,0.024514318
60,0.024514377
61,0.024514377
62,0.024514377
63,0.024514347
64,0.024514347
65,0.024514377
66,0.024514377
67,0.024514377
68,0.024514347
69,0.024514347
70,0.024514377
71,0.024514377
72,0.024514347
73,0.024514318
74,0.024514318
75,0.024514318
76,0.024514318
77,0.024514318
78,0.024514377
79,0.024514347
80,0.024514347
81,0.024514347
82,0.024514347
83,0.024514347
84,0.024514347
85,0.024514318
86,0.024514377
87,0.024514347
88,0.024514377
89,0.024514318
90,0.024514318
91,0.024514318
92,0.024514377
93,0.024514347
94,0.024514318
95,0.024514347
96,0.024514377
97,0.024514347
98,0.024514347
99,0.024514377
100,0.024514347
101,0.024514377
102,0.024514318
103,0.024514347
104,0.024514318
105,0.024514318
106,0.024514318
107,0.024514318
108,0.024514347
109,0.024514347
110,0.024514407
111,0.024514347
112,0.024514377
113,0.024514347
114,0.024514347
115,0.024514377
116,0.024514347
117,0.024514318
118,0.024514347
119,0.024514347
120,0.024514377
121,0.024514377
122,0.024514377
123,0.024514377
124,0.024514318
125,0.024514347
126,0.024514347
127,0.024514377
128,0.024514377
129,0.024514377
130,0.024514347
131,0.024514377
132,0.024514377
133,0.024514347
134,0.024514347
135,0.024514347
136,0.024514318
137,0.024514377
138,0.024514347
139,0.024514318
140,0.024514377
141,0.024514377
142,0.024514377
143,0.024514377
144,0.024514377
145,0.024514347
146,0.024514318
147,0.024514318
148,0.024514347
149,0.024514347
150,0.024514318
151,0.024514347
152,0.024514347
153,0.024514318
154,0.024514377
155,0.024514377
156,0.024514318
157,0.024514318
158,0.024514347
159,0.024514347
160,0.024514347
161,0.024514318
162,0.024514347
163,0.024514347
164,0.024514347
165,0.024514377
166,0.024514377
167,0.024514347
168,0.024514318
169,0.024514318
170,0.024514407
171,0.024514347
172,0.024514377
173,0.024514377
